[2026-03-06T16:34:24.284Z][HomePage][INFO] Navigating to homepage: https://staging--bv-ad.netlify.app
[2026-03-06T16:34:26.163Z][HomePage][INFO] Checking for cookie banner
[2026-03-06T16:34:27.795Z][HomePage][INFO] Asserting Lifecycle services section is visible
[2026-03-06T16:34:27.817Z][HomePage][INFO] Checking lifecycle step: Strategy
[2026-03-06T16:34:27.846Z][HomePage][INFO] Checking lifecycle step: Planning
[2026-03-06T16:34:27.912Z][HomePage][INFO] Checking lifecycle step: Engineering
[2026-03-06T16:34:27.948Z][HomePage][INFO] Checking lifecycle step: Procurement
[2026-03-06T16:34:27.960Z][HomePage][INFO] Checking lifecycle step: Construction
[2026-03-06T16:34:28.007Z][HomePage][INFO] Checking lifecycle step: Operations
[2026-03-06T16:34:28.053Z][HomePage][INFO] Checking lifecycle step: Modernization
[2026-03-06T16:34:28.091Z][HomePage][INFO] Checking lifecycle step: Decommissioning
