"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2748","Footer – About Us column: Insights and Resources","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","52662","Scenario 5 – Homepage feature cards","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Functional Smoke","bv-homepage.spec.ts","",""
"","2564","Link – /about-us/insights-and-resources","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1615","Link – /perspectives/ai-on-the-frontlines-battling-cyberattacks-to-protect-critical-infrastructure","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3114","Link – /about-us/diversity-equity-and-inclusion","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2567","Footer – Legal: Privacy policy","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","1367","Link – /where-we-work/asia-pacific","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2705","Link – /careers/career-paths","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3780","Top nav – Sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","6440","Footer – all four column headings","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","2442","Footer – Sustainability: Corporate Sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","1951","Link – /sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","57357","Footer and link columns","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Structure and layout","bv-homepage-structure.spec.ts","",""
"","3262","Footer – Careers: Workplace Culture","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","8371","About Us content integrity - /about-us","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","6742","Top nav – About Us","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","44452","Link – /about-us/awards-and-rankings","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","7316","Locations Asia Pacific integrity - /locations/asia-pacific","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","14333","Mega nav – What we do dropdown items","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","1382","Link – /projects/black-and-veatch-clients-sustainability-project-will-increase-production-at","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","5303","Careers funnel stability - /careers","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","1367","Link – /what-we-do/lifecycle-services","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","6157","Mega nav – About Us dropdown items","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","95604","Mega nav – Sustainability dropdown items","chromium","2026-03-06","broken","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","4296","Projects browse flow - /projects","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","2748","Link – /about-us/foundation","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3426","Top nav – What We Do","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","2774","Link – /careers/career-paths/experienced-careers","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1399","Link – /what-we-do/energy-transition/hydrogen-and-ammonia","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1662","Link – /suppliers","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1468","Link – /careers/career-paths/craft-and-construction","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2686","Link – /about-us/governance-and-compliance","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2896","Link – /careers/career-paths/early-careers-and-students/ent-accelerator-program","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4422","Section – Solutions Spotlight heading","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","1634","Link – /where-we-work/middle-east-and-africa","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","5558","Hiring process journey health - /careers/our-hiring-process","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","125","Card – AI on the frontlines: battling cyberattacks","chromium","2026-03-06","skipped","2026-03-06","BV Homepage – Feature cards","bv-homepage-feature-cards.spec.ts","",""
"","4626","Top nav – Who We Serve","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","4335","Section – Lifecycle services steps visible","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","6423","Leadership page reliability - /about-us/leadership","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","1396","Link – /who-we-serve/commercial","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","8914","Top nav – Careers","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","5567","Contact path integrity - /contact-us","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","2695","Link – /careers","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4969","Search – full flow","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","2023","Link – /projects/responsible-mining-carmen-copper-floating-solar-project-in-philippines","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","8449","Locations hub route integrity - /locations","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","1848","Link – /where-we-work/europe","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","142","Card – Floating solar powers Philippine mine","chromium","2026-03-06","skipped","2026-03-06","BV Homepage – Feature cards","bv-homepage-feature-cards.spec.ts","",""
"","1621","Link – /what-we-do/process","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3600","Header – Logo link to home","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","95953","Upper-right – Newsroom","chromium","2026-03-06","broken","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","3051","Link – /about-us/employee-ownership","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3976","Footer – Accessibility link","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","4365","Locations discovery reliability - /office-locations","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","44436","Link – /about-us","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1786","Link – /who-we-serve","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","6851","Locations MEA integrity - /locations/middle-east-and-africa","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","9571","Locations Europe integrity - /locations/europe","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","6491","Mega nav – Who we serve dropdown items","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","3316","Link – /about-us/leadership","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2248","Link – /sustainability/client-sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4502","Hero, CTA and KPIs","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Structure and layout","bv-homepage-structure.spec.ts","",""
"","21313","Scenario 1 – Homepage load validation","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Functional Smoke","bv-homepage.spec.ts","",""
"","2238","Footer – Legal: Terms of use","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","3928","Header – Search button","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","2985","Link – /contact-us","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4225","Link – /","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1465","Link – /what-we-do/energy-transition","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3304","Link – /careers/workplace-culture","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2908","Link – /careers/career-paths/military-veterans","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1984","Link – /what-we-do/strategic-advisory","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4768","Performance – basic navigation metrics","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Performance and Accessibility","bv-homepage-perf-accessibility.spec.ts","",""
"","2129","Link – /office-locations","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","12509","Quick Links","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Structure and layout","bv-homepage-structure.spec.ts","",""
"","1938","Link – /what-we-do/water","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","8083","Footer – What we do: Strategic Advisory","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","1744","Link – /what-we-do/fuels","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2574","Link – /news","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1639","Link – /projects/developing-biomass-gasification-for-hydrogen-production","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4863","Section – Our sustainable vision","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","4021","Section – Solutions intro (infrastructure challenges or Spotlight)","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","2583","Link – /newsroom","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1842","Link – /what-we-do/environmental","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1371","Link – /terms-of-use","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2772","Link – /careers/career-paths/early-careers-and-students","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1389","Link – /what-we-do","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","24572","Header and main navigation","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Structure and layout","bv-homepage-structure.spec.ts","",""
"","1371","Link – /projects","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2387","Hero – headline and primary CTA","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","3943","Section – Our company (purpose, people, insights)","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","7683","Asia Pacific regional page integrity - /where-we-work/asia-pacific","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","3132","Accessibility – images with alt text","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Performance and Accessibility","bv-homepage-perf-accessibility.spec.ts","",""
"","9414","Homepage business-critical smoke - /","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","5302","Locations Americas integrity - /locations/americas","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","29715","Scenario 2 – Top navigation menu","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Functional Smoke","bv-homepage.spec.ts","",""
"","3727","Section – Energy Transition Learn more","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","2785","Footer – What we do: Energy Transition","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","1459","Link – /what-we-do/industrial-cybersecurity","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3726","Section – Projects block (project link to article)","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
"","1891","Link – /projects/plant-upgrade-minimizes-wastewater-discharge-into-ocean-maximizes-production","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2054","Link – /projects/delivering-the-philippines-first-lng-to-power-project","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2850","Link – /about-us/safety-and-health","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","5367","Upper-right – Contact","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","4768","Scenario 4 – Search icon","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Functional Smoke","bv-homepage.spec.ts","",""
"","2667","Link – /about-us/history","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1852","Link – /resources/2025-electric-report","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","7363","Localized careers route health - /en-US/careers","chromium","2026-03-06","failed","2026-03-06","Highest Traffic Pages - Generated QA Scenarios","highest-traffic.spec.ts","",""
"","53131","Card – It’s a new era for power utilities","chromium","2026-03-06","failed","2026-03-06","BV Homepage – Feature cards","bv-homepage-feature-cards.spec.ts","",""
"","2487","Link – /careers/equal-opportunity-and-accessibility","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","6081","Top nav – Projects","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Navigation","bv-homepage-navigation.spec.ts","",""
"","1374","Link – /what-we-do/power-delivery","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","4001","Lifecycle services","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Structure and layout","bv-homepage-structure.spec.ts","",""
"","1620","Link – /privacy-notice","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1923","Link – /what-we-do/power-generation","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3235","Accessibility – landmarks and main headings","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Performance and Accessibility","bv-homepage-perf-accessibility.spec.ts","",""
"","2975","Footer – About Us column: Leadership","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Deep links (click-through)","bv-homepage-deep-links.spec.ts","",""
"","1407","Link – /sustainability/corporate-sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1369","Link – /where-we-work/americas","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2861","Link – /careers/our-hiring-process","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","95946","Scenario 3 – Upper-right navigation","chromium","2026-03-06","broken","2026-03-06","BV Homepage – Functional Smoke","bv-homepage.spec.ts","",""
"","2709","Link – /about-us/investing-in-innovation","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","2726","Link – /bolder-vision","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","1698","Link – /sustainability/community-sustainability","chromium","2026-03-06","passed","2026-03-06","BV Homepage – All internal links (link smoke)","bv-homepage-all-links.spec.ts","",""
"","3008","Hero – KPIs (Years, Projects, Employees)","chromium","2026-03-06","passed","2026-03-06","BV Homepage – Sections and locators","bv-homepage-sections.spec.ts","",""
